Date,Color,Texure,Size,Work order,IN,Out
12-May-23,9A,Reg,22,1724-113,0.125,
12-May-23,7N/11B,Reg,22,1724-146,0.048,
12-May-23,9N,Reg,18,1724-42,0.005,
12-May-23,11A,Reg,16,1724-121,0.180,
12-May-23,11A,Reg,16,1724-96,0.007,
12-May-23,12B,Reg,18,1724-96,0.010,
12-May-23,11A,Reg,18,1724-149,0.165,
12-May-23,8N,Reg,22,1724-149,0.142,
12-May-23,9A,Reg,24,1724-151,0.225,
12-May-23,9A,Reg,14,1724-40,0.133,
12-May-23,9A,Reg,20,1724-150,0.090,
12-May-23,9A,Reg,22,1724-153,0.029,
12-May-23,9A,Reg,16,1724-151,0.030,
12-May-23,8N,Reg,20,1724-112,0.015,
12-May-23,9A,Reg,20,1724-41,0.039,
12-May-23,4N,Reg,18,"1737-88,89",,0.734
12-May-23,10B,Reg,18,1724-144,0.027,
12-May-23,7G,Reg,20,1724-144,0.218,0.218
12-May-23,9A,Reg,20,1724-153,0.140,
12-May-23,8N,Reg,20,1724-153,0.090,
12-May-23,2N,Wavy,22,1737-45,0.130,
12-May-23,9A,Reg,22,1724-67,0.023,
12-May-23,11A,Reg,18,1724-67,0.017,
12-May-23,9A,Wavy,18,1724-150,0.030,
12-May-23,3A,Curly,18,CUS 1738,0.025,
12-May-23,9N,Reg,18,1737-14,0.038,
12-May-23,9B,Reg,20,DH-APR-44,0.560,
12-May-23,9B,Reg,20,DH-APR-44,0.500,
12-May-23,9B,Wavy,18,DH-MAY-02,0.085,
12-May-23,9B,Reg,20,DH-MAY-05,0.360,
12-May-23,9B,Reg,22,DH-MAY-05,0.330,
12-May-23,9B,Wavy,20,DH-MAY-05,0.110,
12-May-23,9B,Wavy,18,DH-MAY-05,0.050,
12-May-23,9B,Reg,20,DH-MAY-04,0.040,
12-May-23,9B,Reg,18,DH-MAY-04,0.500,
12-May-23,9B,Wavy,20,DH-MAY-04,0.265,
12-May-23,9B,Wavy,18,DH-MAY-04,0.320,
12-May-23,8B,Reg,22,DH-MAY-06,0.050,
12-May-23,8B,Reg,18,DH-MAY-06,0.940,
12-May-23,10B,Reg,20,DH-MAY-03,1.400,
12-May-23,10B,Reg,20,DH-MAY-03,1.220,
12-May-23,10B,Wavy,22,DH-MAY-03,0.100,
12-May-23,8B,Reg,20,DH-MAY-10,0.110,
12-May-23,8B,Wavy,18,DH-MAY-10,0.320,
12-May-23,6N,Wavy,18,1737-56,,0.365
12-May-23,9N,Wavy,20,1737-56,,0.017
12-May-23,9A,Wavy,22,1737-64,,0.050
12-May-23,8B,Wavy,24,1737-53,,0.260
12-May-23,8B,Wavy,22,1737-53,,0.430
12-May-23,8B,Wavy,20,1737-52,,0.470
15-May-23,4N,Curly,22,1737-150,,0.320
15-May-23,9B,Curly,22,1737-150,,0.208
